system,num_stories,design_s,design_ns,model,intervention,c_s,c_ns,construction,project
RCMF,4,baseline,baseline,RCMF-4-baseline-baseline,0,4166000,20245000,30378000,40099000
RCMF,4,RC IV,baseline,RCMF-4-RC IV-baseline,1,4990000,20245000,31393000,41439000
RCMF,4,baseline,nsfr,RCMF-4-baseline-nsfr,1,4166000,20826000,31094000,41043000
RCMF,4,RC IV,nsfr,RCMF-4-RC IV-nsfr,1,4990000,20826000,32111000,42387000
RCMF,8,baseline,baseline,RCMF-8-baseline-baseline,0,9190000,38549000,59300000,78277000
RCMF,8,RC IV,baseline,RCMF-8-RC IV-baseline,1,11034000,38549000,61574000,81278000
RCMF,8,baseline,nsfr,RCMF-8-baseline-nsfr,1,9190000,39710000,60732000,80167000
RCMF,8,RC IV,nsfr,RCMF-8-RC IV-nsfr,1,11034000,39710000,63006000,83168000
RCMF,12,baseline,baseline,RCMF-12-baseline-baseline,0,13423000,56921000,87331000,115278000
RCMF,12,RC IV,baseline,RCMF-12-RC IV-baseline,1,15943000,56921000,90439000,119380000
RCMF,12,baseline,nsfr,RCMF-12-baseline-nsfr,1,13423000,58661000,89478000,118110000
RCMF,12,RC IV,nsfr,RCMF-12-RC IV-nsfr,1,15943000,58661000,92586000,122214000
RCSW,4,baseline,baseline,RCSW-4-baseline-baseline,0,4330000,20245000,30579000,40365000
RCSW,4,RC IV,baseline,RCSW-4-RC IV-baseline,1,4963000,20245000,31360000,41395000
RCSW,4,baseline,nsfr,RCSW-4-baseline-nsfr,1,4330000,20826000,31296000,41311000
RCSW,4,RC IV,nsfr,RCSW-4-RC IV-nsfr,1,4963000,20826000,32077000,42341000
RCSW,8,baseline,baseline,RCSW-8-baseline-baseline,0,9517000,38549000,59702000,78807000
RCSW,8,RC IV,baseline,RCSW-8-RC IV-baseline,1,12427000,38549000,63292000,83545000
RCSW,8,baseline,nsfr,RCSW-8-baseline-nsfr,1,9517000,39710000,61135000,80699000
RCSW,8,RC IV,nsfr,RCSW-8-RC IV-nsfr,1,12427000,39710000,64724000,85436000
RCSW,12,baseline,baseline,RCSW-12-baseline-baseline,0,13467000,56921000,87385000,115349000
RCSW,12,RC IV,baseline,RCSW-12-RC IV-baseline,1,16901000,56921000,91621000,120940000
RCSW,12,baseline,nsfr,RCSW-12-baseline-nsfr,1,13467000,58661000,89531000,118182000
RCSW,12,RC IV,nsfr,RCSW-12-RC IV-nsfr,1,16901000,58661000,93768000,123774000
SMF,4,baseline,baseline,SMF-4-baseline-baseline,0,4382000,20245000,30643000,40448000
SMF,4,RC IV,baseline,SMF-4-RC IV-baseline,1,5288000,20245000,31762000,41925000
SMF,4,baseline,nsfr,SMF-4-baseline-nsfr,1,4382000,20826000,31360000,41395000
SMF,4,RC IV,nsfr,SMF-4-RC IV-nsfr,1,5288000,20826000,32479000,42871000
SMF,8,baseline,baseline,SMF-8-baseline-baseline,0,9864000,38549000,60130000,79373000
SMF,8,RC IV,baseline,SMF-8-RC IV-baseline,1,12023000,38549000,62795000,82891000
SMF,8,baseline,nsfr,SMF-8-baseline-nsfr,1,9864000,39710000,61563000,81263000
SMF,8,RC IV,nsfr,SMF-8-RC IV-nsfr,1,12023000,39710000,64227000,84779000
SMF,12,baseline,baseline,SMF-12-baseline-baseline,0,14843000,56921000,89082000,117587000
SMF,12,RC IV,baseline,SMF-12-RC IV-baseline,1,18550000,56921000,93655000,123626000
SMF,12,baseline,nsfr,SMF-12-baseline-nsfr,1,14843000,58661000,91229000,120421000
SMF,12,RC IV,nsfr,SMF-12-RC IV-nsfr,1,18550000,58661000,95802000,126458000
BRBF,4,baseline,baseline,BRBF-4-baseline-baseline,0,3573000,20097000,29463000,38891000
BRBF,4,backup-frame,baseline,BRBF-4-backup-frame-baseline,1,4032000,20097000,30029000,39637000
BRBF,4,baseline,nsfr,BRBF-4-baseline-nsfr,1,3573000,20678000,30180000,39838000
BRBF,4,backup-frame,nsfr,BRBF-4-backup-frame-nsfr,1,4032000,20678000,30745000,40583000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRBF,12,baseline,baseline,BRBF-12-baseline-baseline,0,12847000,56779000,86444000,114105000
BRBF,12,backup-frame,baseline,BRBF-12-backup-frame-baseline,1,15257000,56779000,89418000,118032000
BRBF,12,baseline,nsfr,BRBF-12-baseline-nsfr,1,12847000,58519000,88590000,116940000
BRBF,12,backup-frame,nsfr,BRBF-12-backup-frame-nsfr,1,15257000,58519000,91565000,120866000
